chapter	section	category_code	category_name_cn	subcategory_code	subcategory_name_cn	diagnosis_code	diagnosis_name_cn	chapter_code	parent_code	is_subtype	subtype_number	code_level	diagnosis_name_en	category_name_en	subcategory_name_en	english_mapping_confidence	who_icd_code	who_name_en	structural_name_en	semantic_name_en	english_mapping_type	semantic_source
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.0	无牙症	K00.000	无牙症	K00	K00.0	FALSE		diagnosis	Anodontia	Disorders of tooth development and eruption	Anodontia	HIGH	K00.0	Anodontia	Anodontia	Anodontia	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.0	无牙症	K00.000x003	少牙畸形	K00	K00.000	TRUE	003	subtype	Anodontia	Disorders of tooth development and eruption	Anodontia	LOW	K00.0	Anodontia	Anodontia	Oligodontia	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.0	无牙症	K00.000x004	先天缺牙	K00	K00.000	TRUE	004	subtype	Anodontia	Disorders of tooth development and eruption	Anodontia	LOW	K00.0	Anodontia	Anodontia	Congenital absence of teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.0	无牙症	K00.001	牙齿发育不全	K00	K00.0	FALSE		diagnosis	Anodontia	Disorders of tooth development and eruption	Anodontia	MEDIUM	K00.0	Anodontia	Anodontia	Dental hypoplasia	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.0	无牙症	K00.002	牙齿缺少	K00	K00.0	FALSE		diagnosis	Anodontia	Disorders of tooth development and eruption	Anodontia	MEDIUM	K00.0	Anodontia	Anodontia	Hypodontia	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.1	额外牙[多生牙]	K00.100	额外牙［多生牙］	K00	K00.1	FALSE		diagnosis	Supernumerary teeth	Disorders of tooth development and eruption	Supernumerary teeth	HIGH	K00.1	Supernumerary teeth	Supernumerary teeth	Supernumerary teeth	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.1	额外牙[多生牙]	K00.100x001	多生牙	K00	K00.100	TRUE	001	subtype	Supernumerary teeth	Disorders of tooth development and eruption	Supernumerary teeth	LOW	K00.1	Supernumerary teeth	Supernumerary teeth	Supernumerary teeth	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.1	额外牙[多生牙]	K00.101	第四臼齿	K00	K00.1	FALSE		diagnosis	Supernumerary teeth	Disorders of tooth development and eruption	Supernumerary teeth	MEDIUM	K00.1	Supernumerary teeth	Supernumerary teeth	Fourth molar	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200	牙齿大小和形状异常	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	HIGH	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	WHO_EXACT	WHO_ICD10
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x001	巨牙症	K00	K00.200	TRUE	001	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Macrodontia	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x002	釉珠	K00	K00.200	TRUE	002	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Enamel pearl	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x003	过小牙	K00	K00.200	TRUE	003	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Microdontia	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x005	牛牙症	K00	K00.200	TRUE	005	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Taurodontism	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x009	畸形中央尖	K00	K00.200	TRUE	009	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Dens evaginatus	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.200x010	牙内陷	K00	K00.200	TRUE	010	subtype	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	LOW	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Dens invaginatus	LOCAL_SUBTYPE_TRANSLATION	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.201	双生牙	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Geminated tooth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.202	结合齿	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Concrescence of teeth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.203	套叠齿	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Dens invaginatus	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.204	融合齿	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Fusion of teeth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
11 K00-K93 消化系统疾病	K00-K14 口腔、涎腺和颌疾病	K00	牙发育和出牙疾患	K00.2	牙齿大小和形状异常	K00.205	圆锥齿	K00	K00.2	FALSE		diagnosis	Abnormalities of size and form of teeth	Disorders of tooth development and eruption	Abnormalities of size and form of teeth	MEDIUM	K00.2	Abnormalities of size and form of teeth	Abnormalities of size and form of teeth	Conical tooth	CLINICAL_STANDARD	DENTAL_TERMINOLOGY
